date,cases,hospitalizations,deaths
2020-11-07,4202,213,67
2020-11-08,2999,159,87
2020-11-09,8726,268,83
2020-11-10,7414,200,81
2020-11-11,6373,212,89
2020-11-12,5980,199,102
2020-11-13,5692,215,83
2020-11-14,3216,169,71
2020-11-15,2314,134,81
2020-11-16,6561,236,87
2020-11-17,5449,190,84
2020-11-18,4865,154,103
2020-11-19,4506,147,78
2020-11-20,4339,191,76
2020-11-21,2582,88,74
2020-11-22,1891,127,75
2020-11-23,5453,187,89
2020-11-24,4436,130,82
2020-11-25,4315,128,78
2020-11-26,3961,127,63
2020-11-27,4063,114,79
2020-11-28,2297,108,74
2020-11-29,1677,66,65
2020-11-30,5098,82,57
2020-12-01,2612,13,37
2020-12-02,4,0,3
