date,cases,hospitalizations,deaths
2020-11-07,4201,203,64
2020-11-08,2999,153,84
2020-11-09,8724,253,81
2020-11-10,7414,190,78
2020-11-11,6363,181,86
2020-11-12,5983,167,97
2020-11-13,5689,186,79
2020-11-14,3212,156,68
2020-11-15,2307,116,79
2020-11-16,6531,203,84
2020-11-17,5392,146,80
2020-11-18,4699,107,85
2020-11-19,4421,90,72
2020-11-20,4260,76,50
2020-11-21,2386,21,44
2020-11-22,1145,17,31
2020-11-23,7,1,3
